# id,lecturerID,lecturerUsername,courseName,moduleName,title,createdBy,submissionDate,type,description

ASS001,U007,lecturer1,Cybersecurity,Introduction to JS,Assignment 2,lecturer1,2026-01-01,Assignment,This is the description of this assignment for CTF
ASS002,U007,lecturer1,Cybersecurity,Introduction to JS,Assignment 2,lecturer1,2026-01-01,Assignment,This is the description of this assignment for CTF
ASS003,U007,lecturer1,Database Management,Introduction to JS,Assignment 1,lecturer1,2026-01-01,Assignment,This is the description of this assignment for Introduction to JS
ASS004,U007,lecturer1,Cybersecurity,Introduction to JS,Quiz 1,lecturer1,2026-01-01,Quiz,this is the quiz to do. please finish
ASS005,U007,lecturer1,Cybersecurity,Introduction to AI,Exam 1,lecturer1,2026-01-01,Exam,this is final exam. dont fail
ASS006,U007,lecturer1,Software Engineer,Introduction to AI,Exam 1,lecturer1,2026-01-01,Exam,
ASS007,U007,lecturer1,Cybersecurity,Introduction to AI,Quiz 2,lecturer1,2026-01-01,Quiz,
ASS010,U007,lecturer1,Cybersecurity,Introduction to AI,Exam 2,lecturer1,2026-01-01,Exam,trial exam. Good Luck
ASS011,U007,lecturer1,Psychology,Introduction to JS,Assignment 1,lecturer1,2026-01-01,Assignment,new assignment created
ASS008,U007,lecturer1,Cybersecurity,Introduction to OOP,Quiz 3,lecturer1,2026-01-01,Quiz,
ASS009,U007,lecturer1,Cybersecurity,Introduction to OOP,Assignment 2,lecturer1,2026-01-01,Assignment,
ASS012,null,lecturer1,Cybersecurity,Introduction to OOP,Exam 1,lecturer1,2026-01-01,Exam,
ASS013,null,lecturer1,Cybersecurity,Introduction to OOP,Assignment 1,lecturer1,2026-01-01,Assignment,
ASS014,null,lecturer1,Cybersecurity,Introduction to OOP,Assignment 3,lecturer1,2026-01-01,Assignment,
ASS015,null,lecturer1,Cybersecurity,Introduction to OOP,Assignment 4,lecturer1,2026-01-01,Assignment,
ASS016,null,lecturer1,Cybersecurity,Introduction to OOP,Assignment 6,lecturer1,2026-01-01,Assignment,
